Region,Property_Type,Average_Price,Sales_Volume,Year,Mortgage_Rate,Deposit_Percent,Energy_Rating,New_Build,Buyer_Type,Affordability_Index,Monthly_Mortgage_cost,Total Interest Paid,25-Year total cost,Loan Amount,Investment_Score,,,Investment_Score_1
North West,Detached,405000,1460,2024,5.3,18,C,Yes,Investor,277.40,"£1,999.91","£267,873.05","£599,973.05",332100,584.6010815,,2,584.6120165
North West,Detached,392000,1410,2023,6.4,18,C,Yes,Investor,278.01,"£2,150.34","£323,662.96","£645,102.96",321440,564.6010791,,2,564.6119898
Yorkshire,Detached,370000,1330,2023,6.5,20,B,Yes,Upsizer,278.20,"£1,998.61","£303,583.96","£599,583.96",296000,532.9010784,,3,532.911982
Yorkshire,Detached,405000,1450,2024,5.4,20,B,Yes,Investor,279.31,"£1,970.34","£267,102.28","£591,102.28",324000,580.9010741,,3,580.9119342
North East,Detached,365000,1300,2024,5.4,25,B,Yes,Investor,280.77,"£1,664.76","£225,676.69","£499,426.69",273750,520.9010685,,3,520.9118721
North West,Detached,410000,1460,2024,5.3,18,C,Yes,Investor,280.82,"£2,024.60","£271,180.13","£607,380.13",336200,584.6010683,,2,584.6118699
Yorkshire,Detached,368000,1310,2024,5.3,18,B,Yes,Investor,280.92,"£1,817.20","£243,400.70","£545,160.70",301760,524.9010679,,3,524.9118659
West Midlands,Detached,520000,1850,2024,5.2,20,B,Yes,Investor,281.08,"£2,480.61","£328,184.30","£744,184.30",416000,740.9010673,,3,740.911859
Yorkshire,Detached,400000,1420,2023,6.2,20,B,Yes,Investor,281.69,"£2,101.06","£310,318.81","£630,318.81",320000,568.901065,,3,568.9118333
Yorkshire,Detached,395000,1400,2024,5.4,20,B,Yes,Upsizer,282.14,"£1,921.69","£260,507.16","£576,507.16",316000,560.9010633,,3,560.9118143
South West,Detached,610000,2150,2024,5.1,20,B,Yes,Investor,283.72,"£2,881.30","£376,391.09","£864,391.09",488000,860.9010574,,3,860.9117486
Yorkshire,Flat,210000,740,2023,6.6,5,D,No,First Timer,283.78,"£1,359.53","£208,359.26","£407,859.26",199500,296.3010571,,1,296.311746
South West,Detached,615000,2160,2024,5.1,20,B,Yes,Investor,284.72,"£2,904.92","£379,476.26","£871,476.26",492000,864.9010537,,3,864.9117073
South West,Detached,600000,2100,2024,5.1,20,B,Yes,Investor,285.71,"£2,834.07","£370,220.74","£850,220.74",480000,840.90105,,3,840.9116667
West Midlands,Detached,515000,1800,2024,5.2,20,B,Yes,Investor,286.11,"£2,456.76","£325,028.68","£737,028.68",412000,720.9010485,,3,720.9116505
North West,Detached,420000,1460,2024,5.3,18,C,Yes,Investor,287.67,"£2,073.98","£277,794.28","£622,194.28",344400,584.6010429,,2,584.6115873
South West,Detached,590000,2050,2024,5.1,20,B,Yes,Investor,287.80,"£2,786.83","£364,050.40","£836,050.40",472000,820.9010424,,3,820.9115819
East of England,Detached,650000,2250,2024,5.1,20,B,Yes,Investor,288.89,"£3,070.24","£401,072.47","£921,072.47",520000,900.9010385,,3,900.9115385
East of England,Detached,655000,2260,2024,5.1,20,B,Yes,Investor,289.82,"£3,093.86","£404,157.64","£928,157.64",524000,904.9010351,,3,904.9115013
East of England,Detached,640000,2200,2024,5.1,20,B,Yes,Investor,290.91,"£3,023.01","£394,902.13","£906,902.13",512000,880.9010313,,3,880.9114583
West Midlands,Detached,510000,1750,2024,5.2,20,B,Yes,Investor,291.43,"£2,432.91","£321,873.06","£729,873.06",408000,700.9010294,,3,700.9114379
East of England,Detached,630000,2150,2024,5.1,20,B,Yes,Investor,293.02,"£2,975.77","£388,731.78","£892,731.78",504000,860.9010238,,3,860.9113757
East Midlands,Flat,218000,740,2023,6.5,8,D,No,First Timer,294.59,"£1,354.20","£205,698.64","£406,258.64",200560,296.3010183,,1,296.311315
South West,Detached,575000,1950,2024,5.1,20,B,Yes,Investor,294.87,"£2,715.98","£354,794.88","£814,794.88",460000,780.9010174,,3,780.9113043
Yorkshire,Detached,415000,1400,2024,5.1,20,B,Yes,Upsizer,296.43,"£1,960.23","£256,069.35","£588,069.35",332000,560.901012,,3,560.911245
North East,Detached,350000,1180,2024,5.4,25,B,Yes,Investor,296.61,"£1,596.34","£216,402.31","£478,902.31",262500,472.9010114,,3,472.9112381
Yorkshire,Flat,220000,740,2023,6.6,5,D,No,First Timer,297.30,"£1,424.27","£218,281.13","£427,281.13",209000,296.3010091,,1,296.3112121
South West,Detached,570000,1900,2024,5.1,20,B,Yes,Investor,300.00,"£2,692.37","£351,709.71","£807,709.71",456000,760.901,,3,760.9111111
East of England,Detached,615000,2050,2024,5.1,20,B,Yes,Investor,300.00,"£2,904.92","£379,476.26","£871,476.26",492000,820.901,,3,820.9111111
West Midlands,Detached,500000,1650,2023,6.2,20,B,Yes,Investor,303.03,"£2,626.33","£387,898.52","£787,898.52",400000,660.90099,,3,660.911
North East,Detached,340000,1120,2023,6.6,25,B,Yes,Investor,303.57,"£1,737.75","£266,323.86","£521,323.86",255000,448.9009882,,3,448.9109804
South East,Detached,670000,2200,2024,5.3,22,A,Yes,Investor,304.55,"£3,147.10","£421,531.04","£944,131.04",522600,881.2009851,,4,881.2109453
East of England,Detached,610000,2000,2024,5.1,20,B,Yes,Investor,305.00,"£2,881.30","£376,391.09","£864,391.09",488000,800.9009836,,3,800.910929
South West,Detached,565000,1850,2024,5.1,20,B,Yes,Investor,305.41,"£2,668.75","£348,624.53","£800,624.53",452000,740.9009823,,3,740.9109145
North East,Detached,330000,1080,2024,5.4,25,B,Yes,Investor,305.56,"£1,505.12","£204,036.46","£451,536.46",247500,432.9009818,,3,432.9109091
South West,Detached,540000,1750,2024,5.1,20,B,Yes,Investor,308.57,"£2,550.66","£333,198.67","£765,198.67",432000,700.9009722,,3,700.9108025
South East,Detached,665000,2150,2024,5.3,22,A,Yes,Investor,309.30,"£3,123.62","£418,385.28","£937,085.28",518700,861.2009699,,4,861.2107769
West Midlands,Detached,495000,1600,2023,6.2,20,B,Yes,Investor,309.38,"£2,600.07","£384,019.53","£780,019.53",396000,640.9009697,,3,640.9107744
West Midlands,Detached,495000,1600,2024,5.2,20,B,Yes,Investor,309.38,"£2,361.35","£312,406.20","£708,406.20",396000,640.9009697,,3,640.9107744
East of England,Detached,605000,1950,2024,5.1,20,B,Yes,Investor,310.26,"£2,857.69","£373,305.92","£857,305.92",484000,780.9009669,,3,780.9107438
North East,Terraced,230000,740,2024,5.3,6,D,No,First Timer,310.81,"£1,301.96","£174,387.70","£390,587.70",216200,296.3009652,,1,296.3107246
North West,Flat,230000,740,2023,6.4,5,D,No,First Timer,310.81,"£1,461.70","£220,011.07","£438,511.07",218500,296.3009652,,1,296.3107246
South West,Detached,560000,1800,2024,5.1,20,B,Yes,Investor,311.11,"£2,645.13","£345,539.36","£793,539.36",448000,720.9009643,,3,720.9107143
North East,Detached,350000,1120,2023,6.6,25,B,Yes,Investor,312.50,"£1,788.86","£274,156.92","£536,656.92",262500,448.90096,,3,448.9106667
South West,Detached,550000,1750,2024,5.1,20,B,Yes,Investor,314.29,"£2,597.90","£339,369.01","£779,369.01",440000,700.9009545,,3,700.9106061
South East,Detached,660000,2100,2024,5.3,22,A,Yes,Investor,314.29,"£3,100.13","£415,239.53","£930,039.53",514800,841.2009545,,4,841.2106061
East of England,Detached,600000,1900,2024,5.1,20,B,Yes,Investor,315.79,"£2,834.07","£370,220.74","£850,220.74",480000,760.90095,,3,760.9105556
West Midlands,Detached,490000,1550,2024,5.2,20,B,Yes,Investor,316.13,"£2,337.50","£309,250.59","£701,250.59",392000,620.900949,,3,620.9105442
West Midlands,Detached,445000,1400,2023,6.1,20,B,Yes,Investor,317.86,"£2,315.52","£338,657.12","£694,657.12",356000,560.9009438,,3,560.9104869
South East,Detached,655000,2050,2024,5.3,22,A,Yes,Investor,319.51,"£3,076.65","£412,093.77","£922,993.77",510900,821.2009389,,4,821.2104326
South East,Detached,640000,2000,2024,5.3,22,A,Yes,Investor,320.00,"£3,006.19","£402,656.51","£901,856.51",499200,801.2009375,,4,801.2104167
West Midlands,Detached,480000,1500,2024,5.2,20,B,Yes,Investor,320.00,"£2,289.80","£302,939.35","£686,939.35",384000,600.9009375,,3,600.9104167
West Midlands,Detached,475000,1480,2023,6.2,20,B,Yes,Investor,320.95,"£2,495.01","£368,503.59","£748,503.59",380000,592.9009347,,3,592.910386
South West,Detached,530000,1650,2023,6,20,B,Yes,Investor,321.21,"£2,731.84","£395,551.38","£819,551.38",424000,660.900934,,3,660.9103774
South East,Detached,630000,1950,2024,5.3,22,A,Yes,Investor,323.08,"£2,959.22","£396,365.00","£887,765.00",491400,781.2009286,,4,781.2103175
West Midlands,Detached,460000,1420,2023,6.1,20,B,Yes,Investor,323.94,"£2,393.58","£350,072.52","£718,072.52",368000,568.9009261,,3,568.9102899
West Midlands,Detached,470000,1450,2024,5.2,20,B,Yes,Investor,324.14,"£2,242.09","£296,628.11","£672,628.11",376000,580.9009255,,3,580.9102837
East Midlands,Detached,470000,1450,2024,5.3,22,B,Yes,Investor,324.14,"£2,207.67","£295,700.88","£662,300.88",366600,580.9009255,,3,580.9102837
North West,Flat,240000,740,2024,5.4,5,D,No,First Timer,324.32,"£1,386.54","£187,960.86","£415,960.86",228000,296.300925,,1,296.3102778
North East,Terraced,240000,740,2023,6.6,6,D,No,First Timer,324.32,"£1,537.39","£235,618.29","£461,218.29",225600,296.300925,,1,296.3102778
North East,Terraced,240000,740,2024,5.3,6,D,No,First Timer,324.32,"£1,358.57","£181,969.77","£407,569.77",225600,296.300925,,1,296.3102778
North West,Flat,240000,740,2023,6.4,5,D,No,First Timer,324.32,"£1,525.26","£229,576.76","£457,576.76",228000,296.300925,,1,296.3102778
West Midlands,Detached,455000,1400,2023,6.2,20,B,Yes,Investor,325.00,"£2,389.96","£352,987.65","£716,987.65",364000,560.9009231,,3,560.9102564
West Midlands,Detached,455000,1400,2024,5.1,20,B,Yes,Investor,325.00,"£2,149.17","£280,750.73","£644,750.73",364000,560.9009231,,3,560.9102564
South East,Detached,650000,2000,2024,5.3,22,A,Yes,Investor,325.00,"£3,053.16","£408,948.02","£915,948.02",507000,801.2009231,,4,801.2102564
East of England,Detached,570000,1750,2024,5.1,22,B,Yes,Upsizer,325.71,"£2,625.06","£342,916.96","£787,516.96",444600,700.9009211,,3,700.9102339
East of England,Detached,580000,1780,2023,6.1,20,B,Yes,Investor,325.84,"£3,017.99","£441,395.79","£905,395.79",464000,712.9009207,,3,712.9102299
West Midlands,Detached,450000,1380,2024,5.2,20,B,Yes,Investor,326.09,"£2,146.69","£284,005.64","£644,005.64",360000,552.90092,,3,552.9102222
South East,Detached,620000,1900,2024,5.3,22,A,Yes,Investor,326.32,"£2,912.24","£390,073.50","£873,673.50",483600,761.2009194,,4,761.2102151
South West,Detached,540000,1650,2024,5.1,20,B,Yes,Investor,327.27,"£2,550.66","£333,198.67","£765,198.67",432000,660.9009167,,3,660.9101852
East of England,Detached,590000,1800,2024,5.1,20,B,Yes,Investor,327.78,"£2,786.83","£364,050.40","£836,050.40",472000,720.9009153,,3,720.9101695
East Midlands,Detached,460000,1400,2023,6.2,22,B,Yes,Investor,328.57,"£2,355.82","£347,944.97","£706,744.97",358800,560.900913,,3,560.9101449
South West,Detached,520000,1580,2024,5.1,20,B,Yes,Investor,329.11,"£2,456.19","£320,857.98","£736,857.98",416000,632.9009115,,3,632.9101282
East of England,Detached,560000,1700,2024,5.1,20,B,Yes,Investor,329.41,"£2,645.13","£345,539.36","£793,539.36",448000,680.9009107,,3,680.910119
West Midlands,Detached,435000,1320,2024,5.1,10,B,Yes,Investor,329.55,"£2,311.54","£301,961.29","£693,461.29",391500,528.9009103,,3,528.9101149
West Midlands,Detached,435000,1320,2024,5.1,20,B,Yes,Investor,329.55,"£2,054.70","£268,410.04","£616,410.04",348000,528.9009103,,3,528.9101149
West Midlands,Detached,442000,1340,2024,5.2,20,B,Yes,Investor,329.85,"£2,108.52","£278,956.65","£632,556.65",353600,536.9009095,,3,536.9101056
East of England,Detached,555000,1680,2024,5.1,20,B,Yes,Investor,330.36,"£2,621.51","£342,454.19","£786,454.19",444000,672.9009081,,3,672.9100901
South West,Detached,530000,1600,2024,5.1,20,B,Yes,Investor,331.25,"£2,503.43","£327,028.32","£751,028.32",424000,640.9009057,,3,640.9100629
East of England,Detached,580000,1750,2024,5.1,20,B,Yes,Investor,331.43,"£2,739.60","£357,880.05","£821,880.05",464000,700.9009052,,3,700.9100575
South West,Detached,515000,1550,2023,6,20,B,Yes,Investor,332.26,"£2,654.52","£384,356.53","£796,356.53",412000,620.9009029,,3,620.9100324
East of England,Detached,550000,1650,2023,6.1,20,B,Yes,Investor,333.33,"£2,861.88","£418,564.97","£858,564.97",440000,660.9009,,3,660.91
East Midlands,Detached,450000,1350,2023,6.2,22,B,Yes,Investor,333.33,"£2,304.60","£340,380.95","£691,380.95",351000,540.9009,,3,540.91
West Midlands,Detached,460000,1380,2024,5.2,20,B,Yes,Investor,333.33,"£2,194.39","£290,316.88","£658,316.88",368000,552.9009,,3,552.91
South West,Terraced,300000,900,2024,5.3,10,C,No,First Timer,333.33,"£1,625.94","£217,782.97","£487,782.97",270000,360.6009,,2,360.61
East of England,Detached,570000,1700,2024,5.1,20,B,Yes,Investor,335.29,"£2,692.37","£351,709.71","£807,709.71",456000,680.9008947,,3,680.9099415
South West,Detached,520000,1550,2024,5.1,20,B,Yes,Investor,335.48,"£2,456.19","£320,857.98","£736,857.98",416000,620.9008942,,3,620.9099359
South West,Detached,510000,1520,2024,5.1,20,B,Yes,Investor,335.53,"£2,408.96","£314,687.63","£722,687.63",408000,608.9008941,,3,608.9099346
West Midlands,Detached,470000,1400,2023,6.2,20,B,Yes,Investor,335.71,"£2,468.75","£364,624.60","£740,624.60",376000,560.9008936,,3,560.9099291
West Midlands,Detached,470000,1400,2024,5.1,20,B,Yes,Investor,335.71,"£2,220.02","£290,006.25","£666,006.25",376000,560.9008936,,3,560.9099291
East of England,Detached,545000,1620,2024,5.2,22,B,Yes,Upsizer,336.42,"£2,534.88","£335,363.33","£760,463.33",425100,648.9008917,,3,648.9099083
South West,Detached,505000,1500,2023,6,20,B,Yes,Investor,336.67,"£2,602.98","£376,893.30","£780,893.30",404000,600.9008911,,3,600.909901
East Midlands,Detached,445000,1320,2024,5.3,22,B,Yes,Investor,337.12,"£2,090.24","£279,972.11","£627,072.11",347100,528.9008899,,3,528.9098876
East of England,Detached,540000,1600,2023,6.1,20,B,Yes,Investor,337.50,"£2,809.85","£410,954.70","£842,954.70",432000,640.9008889,,3,640.9098765
South West,Detached,500000,1480,2024,5.1,20,B,Yes,Investor,337.84,"£2,361.72","£308,517.29","£708,517.29",400000,592.900888,,3,592.9098667
East Midlands,Detached,440000,1300,2023,6.2,22,B,Yes,Investor,338.46,"£2,253.39","£332,816.93","£676,016.93",343200,520.9008864,,3,520.9098485
East of England,Detached,535000,1580,2024,5.1,20,B,Yes,Investor,338.61,"£2,527.04","£330,113.50","£758,113.50",428000,632.900886,,3,632.9098442
South East,Detached,610000,1800,2023,6,22,A,Yes,Investor,338.89,"£3,065.59","£443,875.82","£919,675.82",475800,721.2008852,,4,721.2098361
East of England,Detached,560000,1650,2024,5.1,20,B,Yes,Investor,339.39,"£2,645.13","£345,539.36","£793,539.36",448000,660.9008839,,3,660.9098214
South East,Detached,605000,1780,2024,5.3,22,A,Yes,Investor,339.89,"£2,841.79","£380,636.23","£852,536.23",471900,713.2008826,,4,713.2098072
South West,Detached,510000,1500,2024,5.1,20,D,Yes,Investor,340.00,"£2,408.96","£314,687.63","£722,687.63",408000,600.3008824,,1,600.3098039
South East,Detached,630000,1850,2024,5.3,22,A,Yes,Investor,340.54,"£2,959.22","£396,365.00","£887,765.00",491400,741.200881,,4,741.2097884
South West,Detached,495000,1450,2023,6.2,20,B,Yes,Investor,341.38,"£2,600.07","£384,019.53","£780,019.53",396000,580.9008788,,3,580.9097643
East of England,Detached,530000,1550,2023,6.1,20,B,Yes,Investor,341.94,"£2,757.81","£403,344.43","£827,344.43",424000,620.9008774,,3,620.9097484
West Midlands,Detached,438000,1280,2023,6.2,20,B,Yes,Investor,342.19,"£2,300.66","£339,799.10","£690,199.10",350400,512.9008767,,3,512.9097412
South East,Detached,600000,1750,2024,5.3,22,A,Yes,Investor,342.86,"£2,818.30","£377,490.48","£845,490.48",468000,701.200875,,4,701.2097222
West Midlands,Detached,480000,1400,2024,5.1,20,B,Yes,Investor,342.86,"£2,267.26","£296,176.59","£680,176.59",384000,560.900875,,3,560.9097222
East of England,Detached,525000,1530,2024,5.1,22,B,Yes,Upsizer,343.14,"£2,417.82","£315,844.57","£725,344.57",409500,612.9008743,,3,612.9097143
East of England,Detached,512000,1490,2023,6.2,22,B,Yes,Upsizer,343.62,"£2,622.13","£387,277.88","£786,637.88",399360,596.900873,,3,596.9097005
East of England,Detached,550000,1600,2024,5.1,20,D,Yes,Investor,343.75,"£2,597.90","£339,369.01","£779,369.01",440000,640.3008727,,1,640.309697
South East,Detached,620000,1800,2024,5.3,22,A,Yes,Investor,344.44,"£2,912.24","£390,073.50","£873,673.50",483600,721.200871,,4,721.2096774
South West,Detached,510000,1480,2024,5.1,20,B,Yes,Investor,344.59,"£2,408.96","£314,687.63","£722,687.63",408000,592.9008706,,3,592.9096732
East Midlands,Detached,435000,1260,2024,5.3,22,B,Yes,Investor,345.24,"£2,043.27","£273,680.60","£612,980.60",339300,504.900869,,3,504.9096552
East of England,Detached,520000,1500,2024,5.1,20,B,Yes,Investor,346.67,"£2,456.19","£320,857.98","£736,857.98",416000,600.9008654,,3,600.9096154
South West,Detached,520000,1500,2023,6,20,B,Yes,Investor,346.67,"£2,680.29","£388,088.15","£804,088.15",416000,600.9008654,,3,600.9096154
East Midlands,Detached,430000,1240,2023,6.2,22,B,Yes,Investor,346.77,"£2,202.18","£325,252.91","£660,652.91",335400,496.9008651,,3,496.9096124
South East,Detached,590000,1700,2024,5.3,22,A,Yes,Investor,347.06,"£2,771.33","£371,198.97","£831,398.97",460200,681.2008644,,4,681.2096045
East of England,Terraced,330000,950,2024,5.3,10,C,No,First Timer,347.37,"£1,788.54","£239,561.27","£536,561.27",297000,380.6008636,,2,380.609596
South West,Detached,490000,1410,2024,5.1,20,B,Yes,Investor,347.52,"£2,314.49","£302,346.94","£694,346.94",392000,564.9008633,,3,564.9095918
East of England,Detached,550000,1580,2024,5.1,20,B,Yes,Investor,348.10,"£2,597.90","£339,369.01","£779,369.01",440000,632.9008618,,3,632.9095758
South East,Detached,585000,1680,2023,6,22,A,Yes,Investor,348.21,"£2,939.95","£425,684.19","£881,984.19",456300,673.2008615,,4,673.2095726
East of England,Detached,540000,1550,2023,6.1,20,B,Yes,Investor,348.39,"£2,809.85","£410,954.70","£842,954.70",432000,620.9008611,,3,620.9095679
South East,Detached,610000,1750,2024,5.3,22,A,Yes,Investor,348.57,"£2,865.27","£383,781.99","£859,581.99",475800,701.2008607,,4,701.2095628
East of England,Detached,560000,1600,2023,6.1,20,B,Yes,Investor,350.00,"£2,913.92","£426,175.25","£874,175.25",448000,640.9008571,,3,640.9095238
North West,Semi Detached,315000,900,2024,5.4,14,C,No,Upsizer,350.00,"£1,647.42","£223,327.18","£494,227.18",270900,360.6008571,,2,360.6095238
East Midlands,Detached,410000,1170,2024,5.2,22,B,Yes,Investor,350.43,"£1,906.97","£252,291.68","£572,091.68",319800,468.9008561,,3,468.9095122
South West,Detached,488000,1390,2023,6,20,B,Yes,Investor,351.08,"£2,515.35","£364,205.80","£754,605.80",390400,556.9008545,,3,556.9094945
South East,Detached,590000,1680,2023,6,22,A,Yes,Investor,351.19,"£2,965.08","£429,322.51","£889,522.51",460200,673.2008542,,4,673.2094915
East Midlands,Detached,425000,1210,2024,5.3,22,B,Yes,Investor,351.24,"£1,996.30","£267,389.09","£598,889.09",331500,484.9008541,,3,484.9094902
Yorkshire,Terraced,260000,740,2023,6.5,10,D,No,First Timer,351.35,"£1,579.98","£239,995.43","£473,995.43",234000,296.3008538,,1,296.3094872
East Midlands,Flat,260000,740,2024,5.4,5,D,No,First Timer,351.35,"£1,502.08","£203,624.27","£450,624.27",247000,296.3008538,,1,296.3094872
West Midlands,Flat,260000,740,2023,5.4,7,D,No,First Timer,351.35,"£1,470.46","£199,337.44","£441,137.44",241800,296.3008538,,1,296.3094872
West Midlands,Flat,260000,740,2024,5.3,7,D,No,First Timer,351.35,"£1,456.12","£195,036.75","£436,836.75",241800,296.3008538,,1,296.3094872
South East,Detached,580000,1650,2024,5.3,22,A,Yes,Investor,351.52,"£2,724.36","£364,907.46","£817,307.46",452400,661.2008534,,4,661.2094828
South West,Detached,510000,1450,2023,6.2,20,B,Yes,Investor,351.72,"£2,678.85","£395,656.49","£803,656.49",408000,580.9008529,,3,580.9094771
East of England,Detached,518000,1470,2024,5.2,20,B,Yes,Investor,352.38,"£2,471.07","£326,922.05","£741,322.05",414400,588.9008514,,3,588.9094595
East Midlands,Detached,420000,1190,2024,5.3,22,B,Yes,Investor,352.94,"£1,972.81","£264,243.34","£591,843.34",327600,476.90085,,3,476.9094444
East of England,Detached,540000,1530,2024,5.1,22,B,Yes,Upsizer,352.94,"£2,486.90","£324,868.70","£746,068.70",421200,612.90085,,3,612.9094444
South East,Detached,600000,1700,2024,5.3,22,A,Yes,Investor,352.94,"£2,818.30","£377,490.48","£845,490.48",468000,681.20085,,4,681.2094444
East Midlands,Detached,440000,1240,2023,6.2,22,B,Yes,Investor,354.84,"£2,253.39","£332,816.93","£676,016.93",343200,496.9008455,,3,496.9093939
East of England,Detached,550000,1550,2024,5.1,20,B,Yes,Investor,354.84,"£2,597.90","£339,369.01","£779,369.01",440000,620.9008455,,3,620.9093939
Yorkshire,Terraced,285000,800,2024,5.5,10,D,No,First Timer,356.25,"£1,575.13","£216,040.33","£472,540.33",256500,320.3008421,,1,320.3093567
East Midlands,Detached,450000,1260,2024,5.3,22,B,Yes,Investor,357.14,"£2,113.73","£283,117.86","£634,117.86",351000,504.90084,,3,504.9093333
East of England,Detached,508000,1420,2023,6.2,20,B,Yes,Investor,357.75,"£2,668.35","£394,104.89","£800,504.89",406400,568.9008386,,3,568.9093176
South East,Detached,610000,1700,2024,5.3,22,A,Yes,Investor,358.82,"£2,865.27","£383,781.99","£859,581.99",475800,681.2008361,,4,681.2092896
South East,Detached,575000,1600,2024,5.3,22,A,Yes,Investor,359.38,"£2,700.87","£361,761.71","£810,261.71",448500,641.2008348,,4,641.2092754
East Midlands,Detached,435000,1210,2024,5.3,22,B,Yes,Investor,359.50,"£2,043.27","£273,680.60","£612,980.60",339300,484.9008345,,3,484.909272
East of England,Detached,540000,1500,2024,5.1,20,B,Yes,Investor,360.00,"£2,550.66","£333,198.67","£765,198.67",432000,600.9008333,,3,600.9092593
South East,Detached,570000,1580,2023,6.1,22,A,Yes,Investor,360.76,"£2,891.80","£422,940.88","£867,540.88",444600,633.2008316,,4,633.2092398
South East,Detached,600000,1650,2024,5.3,22,A,Yes,Investor,363.64,"£2,818.30","£377,490.48","£845,490.48",468000,661.200825,,4,661.2091667
East Midlands,Detached,412000,1130,2023,6.3,22,B,Yes,Investor,364.60,"£2,129.86","£317,596.99","£638,956.99",321360,452.9008228,,3,452.9091424
Yorkshire,Terraced,270000,740,2023,6.5,10,D,No,First Timer,364.86,"£1,640.75","£249,226.02","£492,226.02",243000,296.3008222,,1,296.3091358
East Midlands,Flat,270000,740,2024,5.4,5,D,No,First Timer,364.86,"£1,559.85","£211,455.97","£467,955.97",256500,296.3008222,,1,296.3091358
North East,Detached,410000,1120,2024,5.4,25,B,Yes,Investor,366.07,"£1,870.00","£253,499.85","£560,999.85",307500,448.9008195,,3,448.9091057
South West,Detached,480000,1300,2024,5.2,20,B,Yes,Investor,369.23,"£2,289.80","£302,939.35","£686,939.35",384000,520.9008125,,3,520.9090278
South East,Detached,568000,1520,2024,5.3,22,A,Yes,Investor,373.68,"£2,667.99","£357,357.65","£800,397.65",443040,609.2008028,,4,609.2089202
Yorkshire,Terraced,282000,750,2024,5.5,10,D,No,First Timer,376.00,"£1,558.55","£213,766.22","£467,566.22",253800,300.3007979,,1,300.3088652
London,Detached,920000,2350,2024,5.1,20,A,Yes,Investor,391.49,"£4,345.57","£567,671.81","£1,303,671.81",736000,941.2007663,,4,941.2085145
North East,Semi Detached,290000,740,2023,6.5,12,C,No,Upsizer,391.89,"£1,723.13","£261,738.60","£516,938.60",255200,296.6007655,,2,296.6085057
London,Detached,925000,2360,2024,5.1,20,A,Yes,Investor,391.95,"£4,369.19","£570,756.98","£1,310,756.98",740000,945.2007654,,4,945.2085045
London,Detached,910000,2300,2024,5.1,20,A,Yes,Investor,395.65,"£4,298.34","£561,501.46","£1,289,501.46",728000,921.2007582,,4,921.2084249
Yorkshire,Terraced,280000,700,2024,5.5,10,D,No,First Timer,400.00,"£1,547.50","£212,250.14","£464,250.14",252000,280.30075,,1,280.3083333
London,Detached,900000,2250,2024,5.1,20,A,Yes,Investor,400.00,"£4,251.10","£555,331.11","£1,275,331.11",720000,901.20075,,4,901.2083333
London,Detached,890000,2200,2024,5.1,20,A,Yes,Investor,404.55,"£4,203.87","£549,160.77","£1,261,160.77",712000,881.2007416,,4,881.2082397
South West,Flat,300000,740,2024,5.2,12,C,No,First Timer,405.41,"£1,574.24","£208,270.80","£472,270.80",264000,296.60074,,2,296.6082222
North West,Terraced,300000,740,2024,5.4,10,D,No,First Timer,405.41,"£1,641.95","£222,585.23","£492,585.23",270000,296.30074,,1,296.3082222
North East,Semi Detached,300000,740,2023,6.5,12,C,No,Upsizer,405.41,"£1,782.55","£270,764.07","£534,764.07",264000,296.60074,,2,296.6082222
London,Detached,885000,2150,2024,5.1,20,A,Yes,Investor,411.63,"£4,180.25","£546,075.60","£1,254,075.60",708000,861.2007288,,4,861.2080979
East Midlands,Terraced,305000,740,2023,6.5,10,C,No,First Timer,412.16,"£1,853.44","£281,533.10","£556,033.10",274500,296.6007279,,2,296.6080874
West Midlands,Terraced,310000,740,2023,6.4,10,C,No,First Timer,418.92,"£1,866.43","£280,929.46","£559,929.46",279000,296.6007161,,2,296.607957
East of England,Flat,310000,740,2023,6,10,C,No,First Timer,418.92,"£1,797.60","£260,280.27","£539,280.27",279000,296.6007161,,2,296.607957
East Midlands,Terraced,310000,740,2024,5.4,10,C,No,First Timer,418.92,"£1,696.68","£230,004.74","£509,004.74",279000,296.6007161,,2,296.607957
East Midlands,Terraced,310000,740,2023,6.5,10,C,No,First Timer,418.92,"£1,883.83","£286,148.39","£565,148.39",279000,296.6007161,,2,296.607957
South West,Flat,310000,740,2024,5.2,12,C,No,First Timer,418.92,"£1,626.71","£215,213.16","£488,013.16",272800,296.6007161,,2,296.607957
North West,Terraced,310000,740,2024,5.4,10,D,No,First Timer,418.92,"£1,696.68","£230,004.74","£509,004.74",279000,296.3007161,,1,296.307957
London,Detached,880000,2100,2024,5.1,20,A,Yes,Investor,419.05,"£4,156.63","£542,990.42","£1,246,990.42",704000,841.2007159,,4,841.2079545
London,Detached,875000,2050,2024,5.1,20,A,Yes,Investor,426.83,"£4,133.02","£539,905.25","£1,239,905.25",700000,821.2007029,,4,821.2078095
Yorkshire,Terraced,278000,650,2024,5.5,10,D,No,First Timer,427.69,"£1,536.45","£210,734.07","£460,934.07",250200,260.3007014,,1,260.3077938
North West,Semi Detached,320000,740,2024,5.5,12,C,No,Upsizer,432.43,"£1,729.27","£237,181.11","£518,781.11",281600,296.6006938,,2,296.6077083
West Midlands,Terraced,320000,740,2023,6.4,10,C,No,First Timer,432.43,"£1,926.64","£289,991.70","£577,991.70",288000,296.6006938,,2,296.6077083
